分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 15, IPv4: 69, IPv6: 0, 最小延迟: 57 ms, 最高速率: 82.21 M/s, 平均速率: 27.70 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 广西卫视, 有效: 17, IPv4: 94, IPv6: 0, 最小延迟: 51 ms, 最高速率: 94.83 M/s, 平均速率: 38.05 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 东南卫视, 有效: 17, IPv4: 90, IPv6: 0, 最小延迟: 54 ms, 最高速率: 87.91 M/s, 平均速率: 38.44 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 海南卫视, 有效: 11, IPv4: 73, IPv6: 0, 最小延迟: 66 ms, 最高速率: 71.68 M/s, 平均速率: 42.46 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 河北卫视, 有效: 5, IPv4: 90, IPv6: 0, 最小延迟: 234 ms, 最高速率: 3.88 M/s, 平均速率: 1.84 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 河南卫视, 有效: 13, IPv4: 110, IPv6: 0, 最小延迟: 63 ms, 最高速率: 71.89 M/s, 平均速率: 39.79 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 11, IPv4: 242, IPv6: 0, 最小延迟: 58 ms, 最高速率: 82.06 M/s, 平均速率: 25.83 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.00, 视频编解码器: h264, 音频编解码器: mp3
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 18, IPv4: 124, IPv6: 0, 最小延迟: 65 ms, 最高速率: 74.27 M/s, 平均速率: 27.64 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 江西卫视, 有效: 17, IPv4: 287, IPv6: 0, 最小延迟: 65 ms, 最高速率: 75.43 M/s, 平均速率: 30.94 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 11, IPv4: 108, IPv6: 0, 最小延迟: 754 ms, 最高速率: 5.92 M/s, 平均速率: 3.17 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
