❀营口高码[git],#genre#
睛彩篮球,http://39.134.51.147:6410/PLTV/11/224/3221227673/index.m3u8??servicetype=1
CCTV4K,http://39.134.51.147:6410/PLTV/11/224/3221227623/index.m3u8??servicetype=1
CCTV4K,http://39.134.51.147:6410/PLTV/11/224/3221227516/index.m3u8??servicetype=1
CCTV16-4K,http://39.134.51.147:6410/PLTV/11/224/3221227709/index.m3u8??servicetype=1
广东卫视4K,http://39.134.51.147:6410/PLTV/11/224/3221227712/index.m3u8??servicetype=1
广东卫视4K,http://39.134.51.147:6410/PLTV/11/224/3221227510/index.m3u8??servicetype=1
北京卫视4K,http://39.134.51.147:6410/PLTV/11/224/3221227629/index.m3u8??servicetype=1
山东卫视4K,http://39.134.51.147:6410/PLTV/11/224/3221227621/index.m3u8??servicetype=1
四川卫视4K,http://39.134.51.147:6410/PLTV/11/224/3221227624/index.m3u8??servicetype=1
深圳卫视4K,http://39.134.51.147:6410/PLTV/11/224/3221227626/index.m3u8??servicetype=1
江苏卫视4K,http://39.134.51.147:6410/PLTV/11/224/3221227627/index.m3u8??servicetype=1
湖南卫视4K,http://39.134.51.147:6410/PLTV/11/224/3221227630/index.m3u8??servicetype=1
东方卫视4K,http://39.134.51.147:6410/PLTV/11/224/3221227539/index.m3u8??servicetype=1
深圳卫视4K,http://39.134.51.147:6410/PLTV/11/224/3221227538/index.m3u8??servicetype=1
浙江卫视4K,http://39.134.51.147:6410/PLTV/11/224/3221227542/index.m3u8??servicetype=1
CETV1,http://39.134.51.147:6410/PLTV/11/224/3221227593/index.m3u8??servicetype=1
山西卫视,http://39.134.51.147:6410/PLTV/11/224/3221227503/index.m3u8??servicetype=1
陕西卫视,http://39.134.51.147:6410/PLTV/11/224/3221227588/index.m3u8??servicetype=1
青海卫视,http://39.134.51.147:6410/PLTV/11/224/3221227500/index.m3u8??servicetype=1
阜新综合,http://39.134.51.147:6410/PLTV/11/224/3221227717/index.m3u8??servicetype=1
阜新教育,http://39.134.51.147:6410/PLTV/11/224/3221227662/index.m3u8??servicetype=1
甘肃卫视,http://39.134.51.147:6410/PLTV/11/224/3221227470/index.m3u8??servicetype=1
农林卫视,http://39.134.51.147:6410/PLTV/11/224/3221227497/index.m3u8??servicetype=1
CCTV-老故事,http://39.134.51.147:6410/PLTV/11/224/3221227745/index.m3u8??servicetype=1
国学频道,http://39.134.51.147:6410/PLTV/11/224/3221227653/index.m3u8??servicetype=1
书画频道,http://39.134.51.147:6410/PLTV/11/224/3221227650/index.m3u8??servicetype=1
盘锦新闻综合,http://39.134.51.147:6410/PLTV/11/224/3221227751/index.m3u8??servicetype=1
厦门卫视,http://39.134.51.147:6410/PLTV/11/224/3221227591/index.m3u8??servicetype=1
三沙卫视,http://39.134.51.147:6410/PLTV/11/224/3221227610/index.m3u8??servicetype=1
快乐垂钓,http://39.134.51.147:6410/PLTV/11/224/3221227632/index.m3u8??servicetype=1
