广西移动,#genre#
嘉佳卡通,http://gxyd.484947.xyz/PLTV/77777777/224/3221226428/index.m3u8?servicetype=1
央广购物,http://gxyd.484947.xyz/PLTV/77777777/224/3221225733/index.m3u8?servicetype=1
家庭剧场,http://gxyd.484947.xyz/PLTV/77777777/224/3221225743/index.m3u8?servicetype=1
怡伴健康,http://gxyd.484947.xyz/PLTV/77777777/224/3221225684/index.m3u8?servicetype=1
惊悚悬疑,http://gxyd.484947.xyz/PLTV/77777777/224/3221225746/index.m3u8?servicetype=1
欢乐剧场,http://gxyd.484947.xyz/PLTV/77777777/224/3221226049/index.m3u8?servicetype=1
武搏世界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225758/index.m3u8?servicetype=1
潮妈辣婆,http://gxyd.484947.xyz/PLTV/77777777/224/3221225709/index.m3u8?servicetype=1
哈哈炫动,http://gxyd.484947.xyz/PLTV/77777777/224/3221225711/index.m3u8?servicetype=1
炫舞未来,http://gxyd.484947.xyz/PLTV/77777777/224/3221225973/index.m3u8?servicetype=1
热播精选,http://gxyd.484947.xyz/PLTV/77777777/224/3221225763/index.m3u8?servicetype=1
烽烟剧场,http://gxyd.484947.xyz/PLTV/77777777/224/3221225681/index.m3u8?servicetype=1
爱情喜剧,http://gxyd.484947.xyz/PLTV/77777777/224/3221225698/index.m3u8?servicetype=1
睛彩广场舞,http://gxyd.484947.xyz/PLTV/77777777/224/3221226326/index.m3u8?servicetype=1
睛彩竞技,http://gxyd.484947.xyz/PLTV/77777777/224/3221225972/index.m3u8?servicetype=1
睛彩篮球,http://gxyd.484947.xyz/PLTV/77777777/224/3221225961/index.m3u8?servicetype=1
睛彩青少,http://gxyd.484947.xyz/PLTV/77777777/224/3221226055/index.m3u8?servicetype=1
精品体育,http://gxyd.484947.xyz/PLTV/77777777/224/3221225724/index.m3u8?servicetype=1
精品大剧,http://gxyd.484947.xyz/PLTV/77777777/224/3221225737/index.m3u8?servicetype=1
精品萌宠,http://gxyd.484947.xyz/PLTV/77777777/224/3221225979/index.m3u8?servicetype=1
谍战大剧,http://gxyd.484947.xyz/PLTV/77777777/224/3221225755/index.m3u8?servicetype=1
金鹰卡通,http://gxyd.484947.xyz/PLTV/77777777/224/3221225702/index.m3u8?servicetype=1
金鹰卡通,http://gxyd.484947.xyz/PLTV/77777777/224/3221226404/index.m3u8?servicetype=1
金鹰纪实,http://gxyd.484947.xyz/PLTV/77777777/224/3221225699/index.m3u8?servicetype=1
金鹰纪实,http://gxyd.484947.xyz/PLTV/77777777/224/3221226406/index.m3u8?servicetype=1
黑莓动画,http://gxyd.484947.xyz/PLTV/77777777/224/3221225710/index.m3u8?servicetype=1
黑莓电影,http://gxyd.484947.xyz/PLTV/77777777/224/3221225740/index.m3u8?servicetype=1
4KUDH,http://gxyd.484947.xyz/PLTV/77777777/224/3221225726/index.m3u8?servicetype=1
咪咕4K,http://gxyd.484947.xyz/PLTV/77777777/224/3221225863/index.m3u8?servicetype=1
咪视界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225771/index.m3u8?servicetype=1
咪视界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225774/index.m3u8?servicetype=1
咪视界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225777/index.m3u8?servicetype=1
咪视界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225780/index.m3u8?servicetype=1
咪视界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225783/index.m3u8?servicetype=1
咪视界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225786/index.m3u8?servicetype=1
咪视界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225792/index.m3u8?servicetype=1
咪视界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225793/index.m3u8?servicetype=1
咪视界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225796/index.m3u8?servicetype=1
咪视界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225799/index.m3u8?servicetype=1
咪视界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225802/index.m3u8?servicetype=1
咪视界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225805/index.m3u8?servicetype=1
咪视界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225808/index.m3u8?servicetype=1
咪视界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225811/index.m3u8?servicetype=1
咪视界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225814/index.m3u8?servicetype=1
咪视界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225817/index.m3u8?servicetype=1
咪视界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225820/index.m3u8?servicetype=1
咪视界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225834/index.m3u8?servicetype=1
咪视界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225837/index.m3u8?servicetype=1
咪视界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225839/index.m3u8?servicetype=1
咪视界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225848/index.m3u8?servicetype=1
咪视界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225850/index.m3u8?servicetype=1
咪视界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225851/index.m3u8?servicetype=1
咪视界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225853/index.m3u8?servicetype=1
咪视界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225854/index.m3u8?servicetype=1
咪视界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225857/index.m3u8?servicetype=1
咪视界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225860/index.m3u8?servicetype=1
咪视界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225893/index.m3u8?servicetype=1
咪视界,http://gxyd.484947.xyz/PLTV/77777777/224/3221225896/index.m3u8?servicetype=1
三沙卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221226405/index.m3u8?servicetype=1
厦门卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225823/index.m3u8?servicetype=1
厦门卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221226412/index.m3u8?servicetype=1
吉林卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225678/index.m3u8?servicetype=1
吉林卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221226389/index.m3u8?servicetype=1
延边卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221226273/index.m3u8?servicetype=1
河北卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225773/index.m3u8?servicetype=1
河北卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221226387/index.m3u8?servicetype=1
深圳卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225725/index.m3u8?servicetype=1
深圳卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225951/index.m3u8?servicetype=1
深圳卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221226379/index.m3u8?servicetype=1
北海新闻综合,http://gxyd.484947.xyz/PLTV/77777777/224/3221226346/index.m3u8?servicetype=1
北海经济科教,http://gxyd.484947.xyz/PLTV/77777777/224/3221226431/index.m3u8?servicetype=1
南宁新闻综合,http://gxyd.484947.xyz/PLTV/77777777/224/3221226341/index.m3u8?servicetype=1
南宁公共,http://gxyd.484947.xyz/PLTV/77777777/224/3221226340/index.m3u8?servicetype=1
南宁影视娱乐,http://gxyd.484947.xyz/PLTV/77777777/224/3221226337/index.m3u8?servicetype=1
南宁文旅生活,http://gxyd.484947.xyz/PLTV/77777777/224/3221226344/index.m3u8?servicetype=1
