📡  电信广电,#genre#
CETV-2,http://ymz.stkeyu.top:8303/udp/239.77.1.69:5146
CETV-4,http://ymz.stkeyu.top:8303/udp/239.253.43.114:5146
早期教育,http://ymz.stkeyu.top:8303/udp/239.77.1.114:5146
山东教育,http://ymz.stkeyu.top:8303/udp/239.77.0.83:5146
财富天下,http://ymz.stkeyu.top:8303/udp/239.77.0.113:5146
中国交通,http://ymz.stkeyu.top:8303/udp/239.77.1.249:5146
中国天气,http://ymz.stkeyu.top:8303/udp/239.77.1.2:5146
茶,http://ymz.stkeyu.top:8303/udp/239.77.0.15:5146
快乐垂钓,http://ymz.stkeyu.top:8303/udp/239.77.0.145:5146
金鹰纪实,http://ymz.stkeyu.top:8303/udp/239.77.1.217:5146
环球奇观,http://ymz.stkeyu.top:8303/udp/239.253.43.126:5146
书画频道,http://ymz.stkeyu.top:8303/udp/239.77.1.115:5146
游戏竞技,http://ymz.stkeyu.top:8303/udp/239.77.0.211:5146
求索纪录,http://ymz.stkeyu.top:8303/udp/239.77.0.21:5146
梨园,http://ymz.stkeyu.top:8303/udp/239.77.0.210:5146
武术世界,http://ymz.stkeyu.top:8303/udp/239.77.0.216:5146
文物宝库,http://ymz.stkeyu.top:8303/udp/239.77.0.227:5146
国学,http://ymz.stkeyu.top:8303/udp/239.77.0.226:5146
汽摩,http://ymz.stkeyu.top:8303/udp/239.77.0.209:5146
天元围棋,http://ymz.stkeyu.top:8303/udp/239.253.43.98:5146
睛彩青少,http://ymz.stkeyu.top:8303/udp/239.77.1.22:5146
睛彩竞技,http://ymz.stkeyu.top:8303/udp/239.77.1.20:5146
睛彩篮球,http://ymz.stkeyu.top:8303/udp/239.77.1.21:5146
睛彩广场舞,http://ymz.stkeyu.top:8303/udp/239.77.1.23:5146
经典电影,http://ymz.stkeyu.top:8303/udp/239.77.0.104:5146
热播剧场,http://ymz.stkeyu.top:8303/udp/239.77.0.106:5146
少儿动画,http://ymz.stkeyu.top:8303/udp/239.77.0.109:5146
爱上4K,http://ymz.stkeyu.top:8303/udp/239.253.43.219:5146

广东卫视,http://www.xinxuzhen.com:8000/udp/239.77.1.152:5146
广东卫视高清,http://www.xinxuzhen.com:8000/udp/239.77.0.84:5146
广东卫视超清,http://www.xinxuzhen.com:8000/udp/239.77.0.166:5146
广东卫视4K,http://www.xinxuzhen.com:8000/udp/239.77.0.65:5146
广东珠江高清,http://www.xinxuzhen.com:8000/udp/239.77.0.1:5146
广东珠江超清,http://www.xinxuzhen.com:8000/udp/239.77.0.114:5146
广东新闻高清,http://www.xinxuzhen.com:8000/udp/239.77.0.173:5146
广东民生高清,http://www.xinxuzhen.com:8000/udp/239.77.0.225:5146
广东体育高清,http://www.xinxuzhen.com:8000/udp/239.77.0.112:5146
广东体育超清,http://www.xinxuzhen.com:8000/udp/239.77.0.168:5146
经济科教高清,http://www.xinxuzhen.com:8000/udp/239.77.0.85:5146
经济科教超清,http://www.xinxuzhen.com:8000/udp/239.77.0.167:5146
大湾区卫视高清,http://www.xinxuzhen.com:8000/udp/239.77.0.215:5146
广东影视高清,http://www.xinxuzhen.com:8000/udp/239.77.0.217:5146
广东少儿高清,http://www.xinxuzhen.com:8000/udp/239.77.0.250:5146
嘉佳卡通高清,http://www.xinxuzhen.com:8000/udp/239.77.0.179:5146
岭南戏曲高清,http://www.xinxuzhen.com:8000/udp/239.77.0.122:5146
现代教育高清,http://www.xinxuzhen.com:8000/udp/239.77.0.213:5146
广东移动,http://www.xinxuzhen.com:8000/udp/239.77.0.20:5146
广东综艺4K,http://www.xinxuzhen.com:8000/udp/239.77.1.237:5146
广州综合高清,http://www.xinxuzhen.com:8000/udp/239.253.43.71:5146
广州新闻高清,http://www.xinxuzhen.com:8000/udp/239.253.43.72:5146
广州影视高清,http://www.xinxuzhen.com:8000/udp/239.253.43.73:5146
广州法治高清,http://www.xinxuzhen.com:8000/udp/239.253.43.74:5146
南国都市4K,http://www.xinxuzhen.com:8000/udp/239.253.43.99:5146
深圳卫视,http://www.xinxuzhen.com:8000/udp/239.77.1.189:5146
深圳卫视高清,http://www.xinxuzhen.com:8000/udp/239.77.0.92:5146
深圳卫视超清,http://www.xinxuzhen.com:8000/udp/239.77.0.130:5146
深圳卫视4K,http://www.xinxuzhen.com:8000/udp/239.77.1.14:5146
深圳都市频道,http://www.xinxuzhen.com:8000/udp/239.77.1.176:5146
深圳电视剧频道,http://www.xinxuzhen.com:8000/udp/239.77.1.177:5146
深圳财经生活,http://www.xinxuzhen.com:8000/udp/239.77.1.242:5146
深圳体育健康,http://www.xinxuzhen.com:8000/udp/239.77.1.128:5146
深圳少儿频道,http://www.xinxuzhen.com:8000/udp/239.77.1.244:5146
深圳宝安频道,http://www.xinxuzhen.com:8000/udp/239.77.1.67:5146
深圳宝安第一课,http://www.xinxuzhen.com:8000/udp/239.77.1.225:5146
深圳龙岗频道,http://www.xinxuzhen.com:8000/udp/239.77.1.223:5146
深圳众创TV,http://www.xinxuzhen.com:8000/udp/239.77.1.247:5146
深圳移动电视,http://www.xinxuzhen.com:8000/udp/239.77.1.175:5146
深圳宜和购物,http://www.xinxuzhen.com:8000/udp/239.77.1.87:5146
韶关新闻综合,http://www.xinxuzhen.com:8000/udp/239.77.0.117:5146
湛江新闻综合,http://www.xinxuzhen.com:8000/udp/239.77.0.141:5146
湛江公共,http://www.xinxuzhen.com:8000/udp/239.77.0.140:5146
揭阳综合,http://www.xinxuzhen.com:8000/udp/239.77.0.229:5146
揭阳生活,http://www.xinxuzhen.com:8000/udp/239.77.0.251:5146
汕尾新闻综合,http://www.xinxuzhen.com:8000/udp/239.77.0.25:5146
汕尾文化生活,http://www.xinxuzhen.com:8000/udp/239.77.0.187:5146
江门综合,http://www.xinxuzhen.com:8000/udp/239.77.0.201:5146
江门侨乡生活,http://www.xinxuzhen.com:8000/udp/239.77.0.202:5146
